PCYT2,0.000382369253434,7
CBX3,0.000137315155379,37
AP1B1,0.000126074561332,24
ARL4A,0.000108865945132,5
TP53RK,7.58217713748e-05,7
SSX2IP,3.95579306885e-05,92
RPL6,2.7197290389e-05,13
OSGEP,1.85766947101e-05,23
TFG,1.27186055996e-05,30
HMGXB4,1.06129612839e-05,10
GRASP,1.03910521799e-05,7
OGT,9.59695468927e-06,24
VDAC1,8.85994705666e-06,20
PDCD6,8.29967828229e-06,20
CHD1,7.70772514977e-06,10
SDHAF2,7.48755116054e-06,4
ZBTB17,7.20539005912e-06,23
KIF3A,6.9186262029e-06,12
BRMS1L,6.8613167771e-06,15
ANXA5,6.73737954566e-06,17
NAV2,5.29337282627e-06,10
CGB,4.98549617734e-06,5
ZBTB7A,4.38366535444e-06,15
GATAD2A,3.95966465625e-06,11
AHNAK,3.6532819282e-06,10
BHMT,3.58715998625e-06,8
PSMA4,3.45919070516e-06,14
HRH2,3.45229261058e-06,1
OLIG1,3.14257059061e-06,19
SNAP47,3.07140459865e-06,9
MAGEA8,3.04895776157e-06,9
ATG4D,2.82857964411e-06,4
CNKSR2,2.5581361908e-06,12
BAHCC1,2.37577430063e-06,2
Myod1,2.23202479493e-06,1
FBXO5,2.10552563591e-06,17
MGMT,2.01987343115e-06,8
EEF1A2,2.01408976492e-06,6
NMU,2.01219421554e-06,6
SLC16A7,2.01059800356e-06,2
PDIA2,1.72787047855e-06,8
TRAT1,1.37822006101e-06,13
C21orf7,1.37446300078e-06,2
CASC5,1.36404297361e-06,6
S1PR1,1.33514510281e-06,9
MED16,1.22534734472e-06,8
PALLD,1.21461071712e-06,6
Ptk2,1.16693308942e-06,3
KLF15,1.07830978371e-06,10
Prame,1.07103445274e-06,1
E2f5,1.04374831886e-06,2
SLC25A48,9.88876248119e-07,6
EXOSC3,8.54584353986e-07,9
ADCY8,6.97194806668e-07,3
SLIT3,6.95785124468e-07,2
SYNRG,6.77031956486e-07,8
HIST2H2BF,5.8736562234e-07,1
C19orf12,5.65425673515e-07,2
APOF,4.50209405818e-07,2
RPP38,4.26915801349e-07,8
TBC1D14,4.03978278563e-07,1
INHBE,3.96379733525e-07,3
PVRL1,3.67525555199e-07,8
SLC12A2,3.37863691191e-07,5
PCSK6,3.35917396192e-07,7
GOLGA8G,3.22423038768e-07,1
Ar,3.08607592067e-07,2
LSM14A,3.0811857054e-07,1
SCD,3.05087826922e-07,3
NAT6,2.96241056136e-07,2
MITD1,2.9353445784e-07,4
NAB1,2.70863771777e-07,2
PITPNM2,2.54259415148e-07,3
KIAA1143,2.53009340267e-07,2
USP50,2.48961651105e-07,2
MRPL15,2.4597123378e-07,3
CCDC28B,2.10713477499e-07,2
OSTCP1,2.05317256554e-07,3
MOXD1,1.96824124483e-07,2
NRK,1.81665986045e-07,1
MBD3L1,1.79218177889e-07,2
GUK1,1.65159508388e-07,2
ERVK-6,1.41028003118e-07,1
EIF4EBP3,1.35778301018e-07,2
Myocd,1.32155977694e-07,1
NPHS2,1.2139238763e-07,4
TIGIT,1.03398654154e-07,4
SNORD3A,9.25699129034e-08,1
RSPH1,7.72663497881e-08,1
SYNGR1,7.67571334483e-08,2
Esr2,6.62580837568e-08,1
ULBP2,5.61519069472e-08,1
GDU7,4.46584151377e-08,1
ICOS,4.45868322783e-08,5
IQCB1,3.99880979323e-08,1
TRMT2B,3.83838761981e-08,1
GPR143,2.4438853259e-08,2
GRPR,1.66928304117e-08,1
MIOX,0.0,2
TMLHE,0.0,2
