RNF14,24
UBE2Q1,7
UBE2Q2,8
RNF10,30
RNF11,69
RNF13,8
REM1,9
REM2,1
C16orf13,1
gag,20
RNF17,1
MZT2A,2
TSKS,2
ATRX,27
PMM2,1
PMM1,3
ASS1,14
Shank1,1
FHIT,10
SPX,1
ZNF709,1
EN1,3
CAMK1,21
STYXL1,1
COPRS,5
ZNF707,5
CAMK4,12
ZC3H10,9
RNF114,29
RNF115,32
ZC3H15,4
ZC3H14,3
SPN,8
RNF111,46
ZC3H18,4
GRIN1,55
PISD,3
SP8,3
DHX9,45
CBX2,12
NSRP1,7
NUP98,25
XPC,16
SP1,146
SP2,8
SP3,19
SP4,15
SP5,1
KLRA1,1
CAMKV,2
OPA3,4
OPA1,2
RAB40C,6
RAB40B,6
RAB40A,2
Cebpb,3
COL7A1,14
h4-A,1
GTSE1,1
ARFRP1,3
SPPL2A,2
NOP9,1
ITGA9,7
ERG6,1
PIR121,1
MZT2B,3
ATP2A2,12
ATP2A3,1
ITGA1,12
ITGA2,14
NOP2,11
ITGA4,18
ITGA5,28
ITGA6,22
ITGA7,6
TRHR,4
DENND4A,6
CT55,2
SWAP70,5
PREB,2
PHLDA1,9
cul1,2
PHLDA3,2
UFSP2,1
MGC34796,1
Btg2,2
GAP43,8
HRH4,4
FBXL12,16
FBXL15,6
FBXL14,1
FBXL17,1
FBXL16,1
FBXL19,3
FBXL18,22
ABCB1,11
SDK1,3
SDK2,2
KIRREL3-AS3,1
GRP,4
TPRN,1
FAM212B,2
AT5G53140,1
FAM212A,2
ZFP161,1
COL4A6,10
COL4A5,18
COL4A4,12
COL4A3,17
COL4A2,25
COL4A1,30
GRN,39
GRL,1
GCLM,4
ITGAX,4
BCL2A1,16
HLCS,4
NOG,4
ITGAV,31
PREP,6
ITGAL,9
ITGAM,19
HLF,5
NOV,14
FAM134C,5
SPR,2
FAM134A,3
SMAD9,120
TRERF1,3
SMAD4,189
SMAD5,45
SMAD6,16
SMAD7,54
GOLPH3L,3
SMAD1,143
SMAD2,207
SMAD3,278
MUS81,10
AMMECR1L,4
TMPRSS11A,2
IGF2R,16
RL2,12
HRH2,1
RAD21L1,1
PLRG1,7
CKS1B,35
Mkl2,1
TUBB7P,1
ERICH6,1
ERICH2,3
C14orf119,2
ART1,1
HRH3,1
ART3,2
HERC2P2,1
ART4,2
HERC2P9,1
HAUS7,2
SPTLC1,2
TCEA2,49
TCEA3,1
TCEA1,14
COX4I2,4
COX4I1,3
BFAR,13
EDA,17
PIPOX,3
CCDC116,11
CADPS2,15
CCDC114,8
CCDC115,5
CCDC112,8
CCDC113,5
CCDC110,1
LEO1,4
MTCL1,7
ATP1A3,2
ATP1A2,1
ATP1A1,16
L1cam,1
TMEM213,2
MGRN1,17
TMEM67,1
Slc27a2,1
DHX8,12
SPHK1,12
Hmgxb3,1
ark1,1
IPO11,15
CUEDC2,9
IPO13,14
CPEB1,6
BEGAIN,27
SIRPD,1
ABAT,3
TCOF1,7
FRG1,5
TP53TG5,1
RHEBL1,16
ZNF41,4
IFT80,2
IFT81,2
IFT88,4
IL10RA,3
Foxo1,2
XPA,22
Wsb1,2
KISS1R,5
MCM10,40
NUP93,3
IL10RB,7
ATG4B,8
ATG4A,5
CDH22,1
ATG4D,4
PHOX2A,7
SP7,2
TNRC4,5
UPK2,4
CFH,20
CFI,2
PNP,15
ANKFY1,6
CFB,6
BGLF4,3
BGLF5,1
MOT2,4
CDKAL1,1
BGLF2,1
PNN,20
ATP6V0E1,1
ATP6V0E2,1
CFP,3
Usp8,1
AAAS,1
HAMP,3
PDP2,1
Usp2,1
Kdm4c,2
AT1G79630,1
SIX4,2
SIX5,3
SIX6,3
SIX1,12
SIX2,5
SIX3,7
WASH3P,2
CNPY4,2
CNPY3,1
CNPY2,3
SYNJ1,23
Bcas2,1
HMG20A,22
HMG20B,16
LINC00305,1
AAGAB,4
C4orf19,2
C4orf14,11
C4orf17,8
SHOX2,3
CHFR,33
EFHA1,1
SYPL1,1
TIGD1,2
NUDT9P1,2
RFX4,3
RFX5,5
APP,2075
RFX7,1
NRXN3,5
RFPL3,2
RFX3,14
APC,124
ABCE1,2
UQCRC2,3
Ncor2,2
Ncor1,3
UQCRC1,7
SLC4A2,3
GGCX,7
ADNP,3
ZNF57,1
KHDRBS1,114
KHDRBS3,32
KHDRBS2,32
ATMS1,1
Flna,4
ERVK-6,1
BZLF2,1
ZNHIT6,1
LHCGR,13
HSP82,2
Fgr,1
FLT3,16
smo,2
VPS37B,15
B4GALT3,3
DPYSL4,8
DPYSL5,10
DPYSL2,16
DPYSL3,8
KRTAP10-11,15
IGFBP2,6
IGFBP3,32
GSG1L,1
IGFBP6,4
IGFBP7,11
IGFBP4,10
IGFBP5,19
SKP2,60
GJA1,19
GJA3,5
APLNR,1
GJA5,7
GJA8,2
PMS2P1,1
C15orf29,3
atr,1
SNTG1,11
ZNF117,1
ZNF114,5
KDM3A,6
PPP6R3,4
ITGA8,4
DYX1C1,5
H1FX,2
APIP,19
GPR15,1
EIF2B4,5
GTPBP2,4
EIF2B2,11
EIF2B3,8
EIF2B1,17
PRKAR2A,36
PRKAR2B,15
S1PR5,3
TXNIP,17
ATP2A1,4
Hdac1,2
QPRT,9
IFT140,5
Hdac2,3
Hdac5,1
TMEM14B,10
Itch,4
FANCF,6
MECOM,15
ITGA2B,18
RSPH1,1
IFI16,11
LURAP1,17
MYT1L,2
CEPT1,2
KIAA1267,9
RTCD1,2
CLIC6,3
CFHR3,2
CLIC4,5
CLIC5,6
CLIC2,3
NLGN3,53
PHACTR3,4
NLGN1,6
KIAA0020,4
KRTAP2-4,10
TMEM147,7
ASGR1,14
ASGR2,10
CASP5,5
FOXL2,3
RIT1,15
TMEM140,2
Mllt3,1
API5,1
RTKN2,2
SECISBP2L,1
SOWAHC,2
KIAA1199,1
HLA-DPA1,3
PKD1P1,3
FAM32A,2
KIAA1191,8
VMP1,1
ZNF559,5
H2afx,1
RNF183,9
ZMAT1,7
ZMAT3,5
ZMAT2,27
ZMAT4,3
C19orf25,6
MYBL1,4
NR1D1,9
NR1D2,25
MYBL2,31
ITGB1BP1,11
ITGB1BP3,4
ITGB1BP2,3
ZNF7,3
ZNF2,4
ZNF3,8
CTCFL,9
kpna2,3
ZNF8,5
C11orf17,1
C11orf16,2
ZAP70,61
SYNDIG1,1
CDC53,2
OGFR,2
CDC5L,68
RAC2,20
RAC3,8
RAC1,150
SBDS,5
VCL,31
Skp1a,1
LOC81691,1
VCP,77
ORC3L,15
CPLX1,5
AP2A1,29
AP2A2,17
VCY,1
CADPS,15
CLC,2
PBX2,23
PBX3,13
PBX1,25
SNX18,2
AIRE,5
MFSD11,1
NSUN2,1
NSUN4,2
TUBG1,26
nef,44
TUBG2,3
HIST1H4K,1
TARS,6
PTCH1,8
TIMM44,8
TUFM,9
RAD9B,7
RAD9A,27
RRP7A,3
MAMSTR,3
ERGIC1,1
LOH3CR2A,1
spf30,1
B3GAT3,4
B3GAT1,4
CPPED1,1
UXT,22
CALM2,42
CALM3,35
SPG21,37
CALM1,244
SPAG6,2
GSDMB,8
GSDMD,1
UPK1A,3
UPK1B,5
DLGAP2,13
DLGAP3,8
HIST1H4I,5
DLGAP1,21
hsp16,1
DLGAP4,15
DLGAP5,6
BRDT,2
MBNL1,9
Rnf4,2
MBNL3,2
Rnf2,2
NPEPL1,1
Net1,3
A1BG,10
CDX2,17
ZNF720,1
OIP5,20
SPAG7,2
CLCN3,7
CLCN2,2
CLCN1,4
CLCN7,3
CLCN6,1
CLCN5,4
CDX4,7
HIST1H4H,1
BRD8,8
BRD9,1
BRD4,19
BRD7,30
BRD1,9
BRD2,7
BRD3,7
DNAJA2,2
DNAJA3,38
DNAJA1,23
SPAG4,4
DNAJA4,3
GLG1,2
PTPN13,22
PTPN12,37
PTPN11,118
DUS2L,1
LYRM1,1
MYCBP,16
PTPN14,7
GALR2,2
MAGEL2,1
UTRN,19
LYAR,11
C8orf30A,9
C16orf74,2
MRPL24,1
MRPL27,2
CSF2RA,11
DMD,32
MRPL20,10
MRPL23,4
LRFN4,1
GAB2,31
MRPL28,13
GAB1,32
HABP4,26
EBNA-LP,1
DMRTB1,19
ZSCAN9,8
NPTX2,1
HABP2,7
ZSCAN4,4
NDRG2,5
NDRG4,4
SRSF5,12
SRSF4,14
SRSF7,11
SRSF6,13
SRSF1,31
CHD1L,3
SRSF3,13
SRSF2,22
MZB1,1
