Gene,Degree,Historical Gene,Occurence in top 10
numb,2,CHI3L1,1
NSMF,2,CHI3L1,1
NDUFS4,2,CHI3L1,1
ACBD3,2,CHI3L1,1
EPB41L4B,2,CHI3L1,1
PER1,16,HTR2A,1
C14orf166,6,RTN4R,1
EDARADD,12,PPP3CC,1
CLCA2,1,DAOA,1
AS3MT,1,DAOA,1
CDYL,6,RTN4R,2
SRSF4,14,DRD3,1
Trhr,2,CHI3L1,1
GKAP1,14,DRD3,1
SMEK1,2,CHI3L1,1
HERC1,12,PPP3CC,1
SRP54,5,DAO,1
CCDC130,8,SYN2,1
MRPS24,2,CHI3L1,1
TMSB4X,29,NRXN1,1
TBX15,5,DAO,1
LHX2,6,RTN4R,1
SLC2A5,2,CHI3L1,1
ADSS,2,CHI3L1,1
HIST1H2BB,16,HTR2A,1
MC2R,2,CHI3L1,1
Itgb1,1,DAOA,1
CAMSAP3,1,DAOA,1
PTPRR,4,SLC6A4,2
ZNF117,1,DAOA,1
LCE2D,16,HTR2A,1
SUPT3H,5,DAO,1
THOC1,17,BDNF,2
MED12L,1,DAOA,1
SRP68,1,DAOA,1
PURB,4,SLC6A4,1
RNU6-6P,1,DAOA,1
IGF2BP1,2,CHI3L1,1
CDK16,17,BDNF,1
ISX,1,DAOA,1
NIM1K,1,DAOA,1
LIPF,2,CHI3L1,1
RHM3,1,DAOA,1
SLC11A2,1,DAOA,1
TYSND1,4,SLC6A4,1
CRIPAK,5,DAO,1
TBC1D8,2,CHI3L1,2
SIC1,2,CHI3L1,1
AT5G66080,1,DAOA,1
LHFPL5,2,CHI3L1,1
cdc20,2,CHI3L1,1
IFNA4,1,DAOA,1
F9,5,DAO,1
IL29,1,DAOA,1
ELOVL7,1,DAOA,1
RPS17P16,1,DAOA,1
KIR3DX1,2,CHI3L1,1
JAGN1,5,DAO,1
C18orf25,6,RTN4R,1
CYP2C8,14,DRD3,2
HSP81-2,1,DAOA,1
FAM19A1,1,DAOA,1
CDC42BPG,6,RTN4R,3
FBXO30,5,DAO,1
Ccdc64,1,DAOA,1
TMBIM1,2,CHI3L1,1
KIAA0664,1,DAOA,1
DCAF4,1,DAOA,1
ELMO1,5,DAO,1
WBSCR27,4,SLC6A4,1
GMPR,2,CHI3L1,2
Erbb2,1,DAOA,1
CACNA1S,4,SLC6A4,1
IAR1,1,DAOA,1
ZNF821,6,RTN4R,1
SNX21,2,CHI3L1,1
ULP1,2,CHI3L1,1
ATP1A3,2,CHI3L1,1
SCGB3A2,1,DAOA,1
SEC22C,1,DAOA,1
UXS1,1,DAOA,1
PCDH10,1,DAOA,1
ATP4A,1,DAOA,1
MIG1,1,DAOA,1
FAM204A,1,DAOA,1
RBMX2,4,SLC6A4,1
AIF1,2,CHI3L1,1
DEPTOR,12,PPP3CC,1
GALNT6,5,DAO,1
DNAJC5B,1,DAOA,1
HAUS2,2,CHI3L1,1
DYNLRB1,6,RTN4R,1
SPINT1,5,DAO,1
XK,4,SLC6A4,1
TPSAB1,2,CHI3L1,1
LINC00242,1,DAOA,1
ZNF142,2,CHI3L1,1
MUM1,6,RTN4R,1
ANKRD12,5,DAO,1
ANKRD39,1,DAOA,1
WASF3,6,RTN4R,1
RGPD5,5,DAO,1
IGHE,1,DAOA,1
LCP1,8,SYN2,1
YY1AP1,10,SLC6A3,1
ZNF415,2,CHI3L1,1
MARCH4,1,DAOA,1
TUG1,1,DAOA,2
Ube2n,1,DAOA,1
TRIM40,1,DAOA,1
NHLH2,1,DAOA,1
THEM4,1,DAOA,1
C20orf3,2,CHI3L1,1
SET,55,APOE,1
