Gene,Degree,Occurence in top 10
CSF3,2,1
PGLYRP3,2,1
MZT2A,2,1
PDIK1L,2,1
SSR3,3,1
HSP90AA2P,1,1
CYP71,1,2
RXRG,30,1
FOCAD,1,1
CASZ1,9,1
FXN,3,1
NT5C2,13,1
PTS,11,1
TRIM33,10,1
TWSG1,5,1
GABARAPL2,57,1
Figf,1,1
INVS,4,1
CABP5,7,1
PYROXD2,3,1
Plin3,1,2
NPHP4,4,1
C1QBP,30,1
DIS3L,1,3
LACTB2,2,1
IL7,4,1
OTUD1,2,1
GRIA2,13,1
COL9A1,2,1
PRDX1,27,1
KIR2DS2,4,1
ZNF461,4,1
COG7,8,1
NOM1,2,1
FUCA1,4,1
WWOX,14,1
Lep,3,1
RAB17,9,1
cdc2,1,1
NME1,31,1
SUV39H2,40,1
ITFG1,8,1
WASH1,2,1
CCP110,2,1
DCN1,1,1
C16orf70,4,1
RMND5A,5,1
COPG2,13,1
HSF4,12,1
C1orf123,2,1
SYT2,5,1
CA12,12,1
UNC45A,8,1
DMA2,1,1
Cct5,1,1
CGRRF1,3,1
RUNX1T1,55,1
LSR,3,1
RAB30,2,1
VWA5B2,1,1
RIPK4,7,1
BMP2,21,1
RBX1,64,1
TAL1,23,1
GZMB,42,1
TRAFD1,4,1
COL14A1,3,1
Rasa1,1,1
TCEAL6,1,1
RANGRF,3,1
SRSF3,13,1
MYEOV2,3,1
E2F7,2,1
NLE1,1,1
CDH16,3,1
GAR1,2,1
TTC5,2,1
PCSK7,8,1
C9orf78,8,2
RHOC,7,1
BBC3,6,1
UBE2K,76,1
SSRP1,23,1
CEP350,7,1
SH3BGRL3,3,1
RASD1,11,1
GRP,4,1
PLAUR,20,1
KIF6,1,1
ZDBF2,1,1
TCF19,5,1
IKZF4,15,1
LRRC20,1,1
RAB38,7,1
TMEM66,5,1
MFN1,2,1
ATF1,25,1
MAT2A,7,1
GINS4,6,1
CD6,5,1
ANAPC10,14,1
PSAT1,4,1
ZNF519,1,1
NDUFAF3,6,1
FBXO28,7,1
UROS,3,1
EYA1,7,1
WARS2,1,1
SMO,3,1
SCD,3,1
H2-Aa,1,1
SRRM2,13,2
WIPF2,9,1
NINL,47,1
NBPF11,2,1
ZFYVE9,38,1
TRIM34,7,1
PRR20A,26,1
SOX13,5,1
RHPN1,10,2
MCHR1,4,1
MLF1,7,1
OAZ2,2,1
OPRD1,17,1
SIP1,19,1
NPHP3,4,1
CAV2,11,1
Sncaip,2,1
MTMR12,1,1
COG8,2,1
CYP2C8,14,1
SGPL1,2,1
PSH1,2,1
CLCN1,4,3
PMPCB,3,1
SEPT5,22,1
ZMYM4,8,1
NGRN,1,1
HIST1H4D,1,1
MEOX1,28,1
SYN1,33,1
RIC8B,3,1
CMTM3,9,1
KLF12,5,1
MYOG,37,1
C14orf93,2,1
BAI2,8,1
PRKDC,92,1
SORD,4,1
TIMP1,8,1
EIF3M,6,1
HPS6,9,1
MT-CO2,2,1
RNMTL1,2,1
CTSK,6,2
ZNF516,1,1
PIGT,3,1
WDR90,1,1
CLCN3,7,1
HTR2B,4,1
CHRM4,5,1
CHRNA9,1,1
ANKS4B,3,1
Pex7,1,1
SLC25A11,4,2
FRAT2,1,1
EIF3H,8,1
FGF12,17,1
CYP2C19,1,1
SDCBP,171,2
B3GALT6,1,1
UBE3D,4,1
Rac1,1,1
ITGB1BP2,3,2
SERPIND1,7,1
SPON2,1,1
Mta1,3,1
RGS16,14,1
LINC00518,1,1
ISX,1,1
OPTC,3,2
MTIF3,3,1
Aacs,1,1
CARD10,4,1
KCNJ9,7,1
PRKAR1B,8,1
VPS37D,5,1
CHST10,2,1
LIG4,85,1
PID1,12,1
RRM2B,8,1
SGSM2,15,1
ASGR1,14,1
FLCN,5,1
PIP,2,1
C1orf21,1,1
IDH3A,5,1
SSNA1,10,1
E7,4,1
CTH,6,1
GSTM5,4,1
IMPDH1,2,1
INPPL1,15,1
EFTUD2,17,1
